City_Name,PM2_5_Mean,Greenness_Public_Share,Projected_PM25_Drop,Deviation_Analysis,Vegetation_Recommendation,Policy_Priority
samsun,17.078,14.0,0.8437211512343445,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
songkhla,17.0,12.7,0.839867640882062,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
lublin,16.907,21.3,0.8352730708466467,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
sao paulo,16.673,18.8,0.8237125397898009,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
kielce,16.666,34.2,0.8233667119376733,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
opole,16.439,11.2,0.8121520087329532,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
poznan,16.138,26.2,0.7972814110914541,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
zagreb,16.104,19.9,0.7956016758096887,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
gan yavne,15.9,17.9,0.7855232641191048,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
brno,15.838,15.5,0.7824602174288291,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
ashdod,15.8,17.2,0.7805828662315637,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
szeged,15.787,15.4,0.7799406145061827,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
ljubljana,15.718,20.7,0.7765317399637794,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
bogota,15.587,38.4,0.7700598187310987,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
balikesir,15.29,13.3,0.7553868370051013,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
santos,15.0,18.7,0.7410596831312297,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
bologna,14.993,20.9,0.7407138552791022,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
parma,14.928,21.7,0.7375025966522006,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
torun,14.862,36.2,0.7342419340464232,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
cape town,14.855,22.2,0.7338961061942957,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
budapest,14.458,19.5,0.7142827265807554,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
holon,14.3,14.4,0.7064768979184404,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
okayama,14.3,17.6,0.7064768979184404,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
olsztyn,13.974,32.3,0.6903712008050551,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
gorzow wielkopolski,13.963,16.6,0.689827757037424,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
canberra,13.9,21.9,0.6867153063682743,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
modesto,13.9,20.7,0.6867153063682743,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
porto,13.497,18.0,0.6668055028814805,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
granada,13.452,16.4,0.6645823238320876,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
port of spain,13.4,11.3,0.6620133169305653,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
kaunas,13.36,17.8,0.6600371577755499,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
bratislava,13.264,26.1,0.6552943758035088,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
palermo,13.198,16.2,0.6520337131977314,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
berlin,13.069,19.7,0.6456605999228042,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
minsk,13.0,19.5,0.6422517253803992,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
paris,12.885,16.1,0.6365702678097271,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
bydgoszcz,12.877,43.3,0.6361750359787237,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
szczecin,12.869,28.5,0.6357798041477203,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
braila,12.737,15.4,0.6292584789361655,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
lille,12.685,17.7,0.6266894720346432,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
gdansk,12.489,27.3,0.6170062921750628,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
linz,12.261,14.4,0.6057421849914686,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
cordoba,12.25,16.0,0.6051987412238375,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
osaka,12.22,18.4,0.6037166218575756,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
muswellbrook,12.2,22.8,0.602728542280067,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
singapore,12.0,19.1,0.5928477465049848,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
bahia blanca,11.9,19.1,0.5879073486174438,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
toledo,11.713,18.1,0.5786688045677408,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
rio de janeiro,11.45,12.6,0.5656755581235053,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
lyon,11.388,18.1,0.5626125114332297,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
sydney,11.273,13.5,0.5569310538625576,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
antwerpen,11.157,22.1,0.5512001923130097,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
magdeburg,11.02,16.0,0.5444318472070773,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
torrelavega,11.0,21.5,0.5434437676295687,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
strasbourg,10.881,16.9,0.5375646941433949,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
basel,10.867,16.2,0.536873038439138,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
sevilla,10.844,22.6,0.5357367469250036,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
tokyo,10.828,23.1,0.5349462832629968,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
reims,10.785,17.0,0.5328219121713555,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
grenoble,10.573,23.2,0.5223482686497665,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
marseille,10.534,16.0,0.5204215134736252,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
central coast,10.5,17.9,0.5187417781918615,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
madrid,10.471,22.6,0.5173090628044736,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
hamburg,10.377,18.6,0.512665088790186,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
toulouse,10.237,16.0,0.5057485317476278,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
zielona gora,10.231,58.2,0.5054521078743743,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
varna,10.186,17.6,0.5032289288249814,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
nantes,10.156,17.5,0.5017468094587176,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
alcala de henares,10.147,18.2,0.5013021736488401,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
zurich,10.125,22.0,0.5002152861135798,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
bilbao,10.051,21.7,0.49655939167680074,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
jaen,9.869,12.5,0.48756786752147363,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
rennes,9.822,17.9,0.48524588051432893,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
tours,9.797,14.9,0.48401078104244455,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
palmerston,9.75,18.5,0.48168879403529985,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
angers,9.741,14.3,0.48124415822542055,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
le mans,9.698,19.1,0.47911978713377756,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
detroit,9.629,20.6,0.4757109125913743,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
chicago,9.517,17.2,0.4701776669573281,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
san diego,9.467,15.8,0.46770746801355756,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
cartagena,9.458,23.7,0.46726283220367826,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
metz,9.446,20.3,0.4666699844571731,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
philadelphia,9.286,22.1,0.4587653478371063,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
bern,9.2,25.8,0.4545166056538221,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
cleveland,9.157,20.0,0.45239223456217914,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
zaragoza,9.1,28.2,0.44957620776627927,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
darwin,9.1,18.4,0.44957620776627927,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
dallas,9.04,20.4,0.44661196903375533,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
besancon,8.991,13.0,0.4441911740688589,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
alicante,8.944,14.1,0.44186918706171596,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
karlsruhe,8.91,15.9,0.4401894517799505,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
malmo,8.843,21.8,0.43687938519529723,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
wollongong,8.8,19.2,0.434755014103656,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
leon,8.772,15.8,0.433371702695144,POSITIVE: Pollution lower than predicted. Favorable meteorology or effective local regulations.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
sheffield,8.762,17.1,0.43287766290638885,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
salt lake city,8.7,26.2,0.42981461621611317,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
lausanne,8.65,19.9,0.4273444172723426,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
shizuoka,8.575,20.6,0.4236391188566859,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
oslo,8.536,32.4,0.42171236368054643,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
cuenca,8.5,20.2,0.419933820441031,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
carlisle,8.395,21.9,0.41474640265911233,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
norwich,8.288,17.4,0.4094601769194428,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
manchester,8.242,22.2,0.4071875938911731,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
niigata,8.15,14.0,0.40264242783463544,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
stavanger,8.108,27.2,0.40056746072186744,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
memphis,8.1,19.5,0.400172228890864,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
nimes,8.011,19.0,0.3957752747709522,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
hartford,8.0,14.8,0.39523183100332293,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
kingston,8.0,17.1,0.39523183100332293,POSITIVE: Pollution lower than predicted. Favorable meteorology or effective local regulations.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
toulon,7.917,13.4,0.3911313007566637,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
dublin,7.858,23.0,0.38821646600301385,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
plovdiv,7.8,15.4,0.3853510352282399,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
hamilton,7.667,18.6,0.3787803060378092,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
new york,7.654,19.5,0.3781380543124291,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
dijon,7.624,15.1,0.3766559349461671,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
aalborg,7.548,20.3,0.37290123255163543,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
victoria,7.5,11.3,0.37052984156561486,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
victoria,7.5,21.9,0.37052984156561486,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
brisbane,7.5,19.5,0.37052984156561486,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
leicester,7.484,17.4,0.3697393779036089,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
cardiff,7.447,18.9,0.3679114306852185,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
perth,7.413,25.9,0.3662316954034539,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
